"Cl&eacute; de traduction",Traduction
ADDRESS_LINE_2,"Anschrift 2"
ADD_AGAIN,"Nochmal hinzufügen"
ADD_TO_BASKET,"Add to basket"
ADD_TO_COMPARISON,"Zum Vergleich hinzufügen"
ADD_TO_QUICKLINKS,"Zu Merkliste hinzufügen"
ALL,Alle
ALL_FEATURES,"Alle Funktionen"
ANNOUNCEMENTS,Bekanntgaben
AREAS_OF_INTEREST,Schwerpunktbereiche
AWARD_TAB,Auszeichnungen
BACK_TO_LIST,"Zurück zur Liste"
BROWSE,Durchsuchen
BROWSE_PRODUCTS,"Produkte durchsuchen"
BUSINESS_PROFILE,Business-Profil
CATEGORIES,Kategorien
CERTIFICATE,Zertifikat
CHANGE_MAIL_CONFIRMATION,"Es wurde eine Mail mit einem Link an Sie geschickt, mit dem Sie die Änderungen bestätigen können."
CHANGE_MAIL_ERROR_PWD_TEXT,"CHANGE_MAIL_ERROR_PWD_TEXT - to be translated"
CHANGE_MAIL_ERROR_TOKEN,"CHANGE_MAIL_ERROR_TOKEN - to be translated"
CHANGE_MAIL_LABEL,"E-Mail ändern"
CHANGE_MAIL_MAIL_SUBJECT,"Ändern der E-Mail-Adresse"
CHANGE_MAIL_MAIL_TEXT,"<p>Bitte klicken Sie auf folgenden Link, um die Änderung zu bestätigen</p>
<p>##URL##</p>"
CHANGE_MAIL_TEXT_PRESENTATION,"Bitte tragen Sie Ihr Passwort ein, um Ihre neue E-Mail-Adresse zu  bestätigen"
CHANGE_VIEW,"Ansicht ändern"
CHOOSE_ALL,"Alle wählen"
CHOOSE_LOGITECH_DISTRIBUTOR,"Über welchen offiziellen Logitech-Distributor wollen Sie das Projekt abwickeln"
CITY,Ort
CIVILITY,"Anrede "
CLOSE,Schliessen
COMPANY,Firma
COMPANY_ERROR,"Wählen Sie Ihr Land"
CONTACT,Kontakt
CONTACT_SUBJECT,Betreff
COUNTRY,Land
CREATE_COMPARISON,"Produkte vergleichen"
CUSTOMER_DEPOSITS,"Abgade beim Endkunden"
CUSTOMER_NUMBER,Kundennumer
DATE,Datum
DELIVERY_ADDRESS,Lieferangaben
DELIVERY_DETAILS_COSTS,"Bei Bestellungen von kostenpflichtigen Vorführprodukten wird eine <b>Pauschale für Verpackung, Versand und
Nachnahmegebühren in Höhe von € 9,90 berechnet</b>.
<br />
<b>Bestellungen, die nur POS-Material und / oder kostenfreie Demoprodukte enthalten, sind versandkostenfrei.</b>
<br />
Die von Ihnen bestellten/gekauften Produkte erhalten Sie durch unseren Vertriebspartner Schiffer Service GmbH handelt hierbei in unserem Auftrag
auf eigene Rechnung."
DELIVERY_TIME,"Zeitraum der Liefertermin"
DESIRED_END_DATE,"Mögl. Abschlusstermin"
DISTRIBUTOR_ACTEBIS_PEACOK_GMBH,"Actebis Peacok GmbH"
DISTRIBUTOR_API_COMPUTERHANDELS_GMBH,"API Computerhandels-GmbH"
DISTRIBUTOR_B_COM_COMPUTER_AG,"B.com Computer AG"
DISTRIBUTOR_INGRAM_MICRO_DISTRIBUTION_GMBH,"Ingram Micro Distribution GmbH"
DOES_YOUR_COMPANY_HAVE_AN_E_TAIL_SITE,"Verfügt Ihr Unternehmen über einen Online-Shop?"
DOES_YOUR_COMPANY_HAVE_A_RETAIL_STORE,"Gehört zu Ihrem Unternehmen ein Ladengeschäft?"
DON_T_KNOW,"Keine Angabe"
DOWNLOAD,Herunterladen
DO_YOU_HAVE_AN_ACCOUNT_MANAGER_AT_LOGITECH,"Haben Sie einen Kundenbetreuer bei Logitech?"
EDIT_MY_NEWS,"Meine Neuigkeiten bearbeiten"
EDIT_MY_QUICKLINKS,"Merkliste bearbeiten"
EMAIL,E-Mail-Adresse
EMAIL_ERROR,"Geben Sie Ihre E-Mail-Adresse ein"
EMAIL_FOR_LOGIN,"E-Mail-Adresse (zur Anmeldung)"
EMAIL_SUBSCRIBER_REJECTED,"<p>Leider wurde Ihr Logitech Partner Exchange-Konto aus folgendem Grund nicht genehmigt:</p>
<p>##REASON##.</p>
<p>Wenn Sie Fragen haben, senden Sie eine E-Mail an <a href=""mailto:##MAIL##"">##MAIL##</a>.</p>
<p>Mit freundlichen Grüßen<br />Logitech Europe S.A.</p>"
EMAIL_SUBSCRIBER_REMOVED,"<p>Ihr neues Logitech Partner Exchange-Konto wurde gesperrt.</p>
<p>Wenn Sie Fragen haben, senden Sie eine E-Mail an <a href=""mailto:zs@logitech.com"">partner.de@logitech.com</a>.</p>
<p>Mit freundlichen Grüßen<br />Logitech Europe S.A.</p>"
EMAIL_SUBSCRIBER_VALIDATED,"<p>Ihr neues Logitech Partner Exchange-Konto wurde bestätigt. Sie haben nun Zugriff auf den gesamten Website-Inhalt.</p>
<p>Wenn Sie Fragen haben, senden Sie eine E-Mail an <a href=""mailto:partner.eu@logitech.com"">partner.de@logitech.com</a>.</p>
<p>Mit freundlichen Grüßen<br />Logitech Partner Exchange</p>"
EMBARGO_PLD_LEGEND,"Demnächst erhältlich"
ENQUIRY_FORM_BLOC_A_LABEL,"Ihre persönlichen Daten"
ENQUIRY_FORM_BLOC_B_LABEL,"Endkunde (Diese Angaben sind zwingend erforderlich)"
ENQUIRY_FORM_BLOC_C_LABEL,Projekt-Termine
ENQUIRY_FORM_BLOC_D_LABEL,Projektbeschreibung
ENQUIRY_FORM_BLOC_E_LABEL,Projekt-Abwicklung
ENQUIRY_FORM_BLOC_F_LABEL,"Gewünschte Artikel (Bitte eintragen)"
ENQUIRY_LINK,"Zum Projektantrag"
ERROR_POS_DENIED_ACCESS,"Sie müssen erst freigeschalten werden, bevor Sie auf POS- und Marketing Material zugreifen können"
EVENT_TAB,Events
EXCLUDING_VAT,"ohne USt"
FAQ,"Häufig gestellte Fragen"
FAX,Fax
FILTER,Filter
FIND_ARCHIVED_PRODUCTS,"Archivierte Produkte suchen"
FIRST_NAME,Vorname
FIRST_NAME_ERROR,"Geben Sie Ihren Vornamen ein"
FIRST_TIME_DELIVERY,"Erster Liefertemin"
FOCUS_AREA,Schwerpunktbereiche
FOOTER_COPYRIGHT_NOTICE,"© 2011 Logitech. Alle Rechte vorbehalten."
FORGOT_PASSWORD,"Kennwort vergessen"
FORGOT_PASSWORD_ERROR_EMAIL_TEXT,"E-Mail-Adresse unbekannt"
FORGOT_PASSWORD_LABEL,"Kennwort vergessen"
FORGOT_PASSWORD_MAIL_SUBJECT,"Vergessenes Passwort für Logitech Partner Exchange"
FORGOT_PASSWORD_MAIL_TEXT,"<p>Sie haben angegeben, dass Sie keinen Zugang mehr zu Logitech Partner Exchange haben.</p>
<p>Bitte klicken Sie auf den Link unten, um Ihr Passwort zurückzusetzen. Anschließend können Sie sich neu anmelden.</p>
<p>##URL##</p>
<p>Falls Sie hierzu Fragen haben, senden Sie einfach eine E-Mail an <a href=""mailto:partner.de@logitech.com"">partner.de@logitech.com</a></p>
<p>Freundliche Grüße,<br />Logitech Europe SA</p>"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP1,"Geben Sie Ihre E-Mail-Adresse ein, damit wir Ihnen eine E-Mail senden können, um Ihr Kennwort zurückzusetzen"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP2,"Eine E-Mail wurde an die E-Mail-Adresse Ihres Kontos gesendet. Klicken Sie auf den Link, um Ihr Kennwort zurückzusetzen"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP3,"Um Ihr Kennwort zurückzusetzen, geben Sie unten, wie gefordert, zweimal ein neues Kennwort ein und speichern Sie es"
GLOSSARY,Glossar
HIGH_RESOLUTION,Hochauflösung
IMG_CHANGE_MAIL_SAVE_NEW_EMAIL_BUTTON,"Neue E-Mail-Adresse speichern"
IMG_DOWNLOAD_ALL_BUTTON,"Alle herunterladen"
IMG_DOWNLOAD_SELECTED_ITEMS_BUTTON,"Ausgewählte Artikeln herunterladen"
IMG_FORGOT_PASSWORD_SAVE_NEW_PASSWORD_BUTTON,"Neues Kennwort speichern"
IMG_FORGOT_PASSWORD_SEND_BUTTON,Abschicken
IMG_LOGIN_BUTTON,Anmeldung
IMG_PROJECT_APPLICATION_SUBMIT_BUTTON,"Projektantrag abschicken "
IMG_REGISTER_BUTTON,"Jetzt registrieren!"
IMG_REGISTRATION_BUTTON,Registieren
IMG_SAVE_CHANGES_BUTTON,"Änderungen speichern"
IMG_SEARCH_BUTTON,Suche
IMG_SEND_ENQUIRY_BUTTON,"Antrag abschicken"
IMG_SEND_REQUEST_BUTTON,"Antrag abshicken"
IMG_TAKE_TOUR_BUTTON,"Tour starten"
IMG_TOP_CAT_BUTTON,"No. 1"
IMG_TOP_PRODUCT_BUTTON,"Unsere Empfehlung"
IMG_UPLOAD_VAT_CERTIFICATE_BUTTON,Durchsuchen
IMG_WE_RECOMMEND_BUTTON,
INTERNAL_CONTACT_SOCIETY,Ansprechpartner
ITEM_REQUESTED,"Gewünschte Artikel"
LANGUAGE,Sprache
LAST_NAME,Nachname
LAST_NAME_ERROR,"Geben Sie Ihren Nachnamen ein"
LEARN_MORE,"Weitere Informationen"
LOGIN,Anmelden
LOGIN_ERROR_NOT_EXIST,"Anmeldung nicht erfolgreich"
LOGOUT,Abmelden
LOT_SIZES,Losgrößen
MAIL_APPROVAL_REQUEST_BODY,"Sie haben Logitech Partner Exchange-Inhalte zur Freigabe erhalten.

Bitte erteilen Sie die Freigabe bis zum vorgegebenen Zeitpunkt.

Link : ##TOKEN##

Geben Sie bitte einen Grund an, falls Sie die Inhalte nicht akzeptieren.

Vielen Dank."
MAIL_APPROVAL_REQUEST_SUBJECT,"Wir benötigen Ihre Freigabe"
MEDIA_TYPE,Medientyp
MIGRATION_CHOOSE,übernehmen
MY_DATA,"Meine Daten"
MY_DATA_TEXT_POP_UP,"Wir benötigten innerhalb von 30 Tagen eine Kopie Ihrer Mehrwertsteuerbescheinigung"
MY_NEWS,"Meine Neuigkeiten"
NEWEST_PRODUCTS,"Neueste Produkte"
NEWS,Neuigkeiten
NEWSLETTERS_SETTING,E-Communications-Einstellungen
NEWSLETTER_QUESTION,"Ich möchte regelmäßig Informationen per E-Mail von Logitech erhalten"
NEWS_SETTINGS,News-Einstellungen
NEW_EMAIL_LABEL,"Neue E-Mail"
NEW_PASSWORD_LABEL,"Neues Kennwort"
NEW_PASSWORD_REPEAT_LABEL,"Neues Kennwort bestätigen"
NO,Nein
ORDER_SELECTED_ITEMS,"Ausgewählte Artikel bestellen"
OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED,"Sonstige Informationen / Understützung benötigt ?"
PASSWORD,Kennwort
PHONE,Telefon
PLEASE_CHOOSE_A_SUBJECT,"Wählen Sie einen Betreff"
POS_SHOP_CONFIRMATION_AMOUNT_WITH_VAT,"Gesamtbetrag inkl. Steuern und Transport"
POS_SHOP_CONFIRMATION_COST_AND_DELIVERY_TEXT,"<p>Bei Bestellungen von kostenpflichtigen Vorführprodukten wird eine <b>Pauschale für Verpackung, Versand und
Nachnahmegebühren in Höhe von € 9,90 berechnet</b>.
<br /> <b></b></p>
<p> </p>
<p><b>Bestellungen, die nur POS-Material und / oder kostenfreie Demoprodukte enthalten, sind versandkostenfrei.</b></p>
<p> </p>
<p>Die von Ihnen bestellten/gekauften Produkte erhalten Sie durch unseren 
Vertriebspartner Schiffer Service GmbH handelt hierbei in unserem 
Auftrag
auf eigene Rechnung.</p>"
POS_SHOP_CONFIRMATION_TITLE,Bestellvorgang
POS_SHOP_CONFIRMED_ORDER_TEXT,"Vielen Dank für Ihre Bestellung"
POS_SHOP_CONFIRM_ORDER_BUTTON,"Bestellung aufgeben"
POS_SHOP_CONTENT_REGISTERED_ERROR,"Sie haben den folgenden Gegenstand dieses Quartal bereits bestellt: ##CONTENT_REGISTERED##"
POS_SHOP_FTP_ERROR,"-sample - POS_SHOP_FTP_ERROR bla bla POS_SHOP_FTP_ERROR"
POS_SHOP_NB_ORDER_EXCEEDED_ERROR,"Mit diesem Account haben Sie bereits ##NB_ORDER_REGISTERED## Gegenstände bestellt. Mit dieser Bestellung überschreiten Sie Ihr Limit von ##NB_ORDER_MAX## Bestellungen pro Trimester."
PRESS_ARTICLES_TAB,Presseartikel
PRESS_ARTICLE_MEDIA_ONLINE,Online
PRESS_ARTICLE_MEDIA_PRINT,Print
PRESS_ARTICLE_MEDIA_RADIO,Radio
IMG_SEND_ENQUIRY_BUTTON,"Antrag abschicken"
IMG_SEND_REQUEST_BUTTON,"Antrag abshicken"
IMG_TAKE_TOUR_BUTTON,"Tour starten"
IMG_TOP_CAT_BUTTON,"No. 1"
IMG_TOP_PRODUCT_BUTTON,"Unsere Empfehlung"
IMG_UPLOAD_VAT_CERTIFICATE_BUTTON,Durchsuchen
IMG_WE_RECOMMEND_BUTTON,
INTERNAL_CONTACT_SOCIETY,Ansprechpartner
ITEM_REQUESTED,"Gewünschte Artikel"
LANGUAGE,Sprache
LAST_NAME,Nachname
LAST_NAME_ERROR,"Geben Sie Ihren Nachnamen ein"
LEARN_MORE,"Weitere Informationen"
LOGIN,Anmelden
LOGIN_ERROR_NOT_EXIST,"Anmeldung nicht erfolgreich"
LOGOUT,Abmelden
LOT_SIZES,Losgrößen
MAIL_APPROVAL_REQUEST_BODY,"Sie haben Logitech Partner Exchange-Inhalte zur Freigabe erhalten.

Bitte erteilen Sie die Freigabe bis zum vorgegebenen Zeitpunkt.

Link : ##TOKEN##

Geben Sie bitte einen Grund an, falls Sie die Inhalte nicht akzeptieren.

Vielen Dank."
MAIL_APPROVAL_REQUEST_SUBJECT,"Wir benötigen Ihre Freigabe"
MEDIA_TYPE,Medientyp
MIGRATION_CHOOSE,übernehmen
MY_DATA,"Meine Daten"
MY_DATA_TEXT_POP_UP,"Wir benötigten innerhalb von 30 Tagen eine Kopie Ihrer Mehrwertsteuerbescheinigung"
MY_NEWS,"Meine Neuigkeiten"
NEWEST_PRODUCTS,"Neueste Produkte"
NEWS,Neuigkeiten
NEWSLETTERS_SETTING,E-Communications-Einstellungen
NEWSLETTER_QUESTION,"Ich möchte regelmäßig Informationen per E-Mail von Logitech erhalten"
NEWS_SETTINGS,News-Einstellungen
NEW_EMAIL_LABEL,"Neue E-Mail"
NEW_PASSWORD_LABEL,"Neues Kennwort"
NEW_PASSWORD_REPEAT_LABEL,"Neues Kennwort bestätigen"
NO,Nein
ORDER_SELECTED_ITEMS,"Ausgewählte Artikel bestellen"
OTHER_INFORMATION_SUPPORT_SERVICES_NEEDED,"Sonstige Informationen / Understützung benötigt ?"
PASSWORD,Kennwort
PHONE,Telefon
PLEASE_CHOOSE_A_SUBJECT,"Wählen Sie einen Betreff"
POS_SHOP_CONFIRMATION_AMOUNT_WITH_VAT,"Gesamtbetrag inkl. Steuern und Transport"
POS_SHOP_CONFIRMATION_COST_AND_DELIVERY_TEXT,"<p>Bei Bestellungen von kostenpflichtigen Vorführprodukten wird eine <b>Pauschale für Verpackung, Versand und
Nachnahmegebühren in Höhe von € 9,90 berechnet</b>.
<br /> <b></b></p>
<p> </p>
<p><b>Bestellungen, die nur POS-Material und / oder kostenfreie Demoprodukte enthalten, sind versandkostenfrei.</b></p>
<p> </p>
<p>Die von Ihnen bestellten/gekauften Produkte erhalten Sie durch unseren 
Vertriebspartner Schiffer Service GmbH handelt hierbei in unserem 
Auftrag
auf eigene Rechnung.</p>"
POS_SHOP_CONFIRMATION_TITLE,Bestellvorgang
POS_SHOP_CONFIRMED_ORDER_TEXT,"Vielen Dank für Ihre Bestellung"
POS_SHOP_CONFIRM_ORDER_BUTTON,"Bestellung aufgeben"
