CLE;TRADUCTION
(HOME);"(home page)"
(Root);(Root)
"...New page";"New section ..."
"1 level";"1 level"
1_VISUEL_CINEMASCOPE;"1 cinemascope media"
"2 levels";"2 levels"
2_VISUELS_16_9_EMPILES__1_VISUEL_PORTRAIT;"2 visual  16/9 stacked + 1 visual portrait"
2_VISUELS_FORMATS_PORTRAITS;"2 visuals portrait"
2_VISUELS_FORMAT_CARRE;"2 squares media"
2_VISUEL_16_9;"2 16/9 media"
3_VISUEL_CARRES;"3 visual square"
4X4;ABCDEFGHIJKLMNOPQRSTUVWXY27ABCDEFGHIJKLMNOPQRSTUVWXY54ABCDEFGHIJKLMNOPQRSTUVWXY81ABCDEFGHIJKLMNOPQRSTUVWX108ABCDEFGHIJKLMNOPQRSTUVWX135ABCDEFGHIJKLMNOPQRSTUVWX162ABCDEFGHIJKLMNOPQRSTUVWX189ABCDEFGHIJKLMNOPQRSTUVWX216ABCDEFGHIJKLMNOPQRSTUVWXYZ123456789D255
"80 letters alert";"Reminder: the text in this text link must not exceed 80 characters"
ABONNEMENT_NEWSLETTER;Newsletter
ABONNES;Subscribers
ABO_NEWSLETTER;"ABONNEMENT NEWSLETTER UK"
"Accesibility key";"Access key"
ACCES_BACK_OFFICE;Acc
Accroche;Hang
ACL;Actualit
ACTIF;Active
"Action description";"Description of the action"
"Action name";"Action name"
"Activate WebService";"Enable this WebService"
"Activation date";"Activation date"
ACTIVATION_AUTOCOMPLETION;"Activate autocomplete"
ACTIVATION_CHAMP_RECHERCHE;"Search activation"
ACTIVATION_CHAMP_RECHERCHE_;"display search"
ACTIVATION_PRIX_CREDITS;"Activation des prix à crédits"
ACTIVER;Activate
ACTIVER_MOBILE;Mobile
ACTIVER_WEB_TABLETTE;web
ACTIVER_WEB_TABLETTE_MOBILE;"web and mobile"
ACTUALITE;News
ADD;add
Address;Address
ADDRESS_LINE_1;"Adresse (ligne 1)"
ADDRESS_LINE_2;"Adresse (ligne 2)"
ADD_AGAIN;"Ajouter "
ADD_ENCADRE;"Add box"
ADD_FORM_COL;"Add column"
ADD_FORM_CTA;"Add CTA"
ADD_FORM_GALLERY;"Add gallery"
ADD_LIEN;Link
ADD_LIST_PICTO_TEXT;"Add picto ligne"
ADD_TO_BASKET;"Ajouter au panier"
ADD_TO_COMPARISON;"Ajouter "
ADD_TO_MY_SELECTION;"Ajouter à ma sélection"
ADD_TO_QUICKLINKS;"Ajouter aux liens rapides"
"Admin reserved";"Admin reserved"
ADMINISTRATION;Administration
AFFICHAGE;Affichage
AFFICHAGE_MOB;"Mobile display"
AFFICHAGE_WEB;"Web display"
AFFICHAGE_WEB_MOBILE;"Display web / mobile"
AFFICHER;Display
AFFICHER_ASSISTANCE_TELEPHONIQUE;"Display ""Phone Assistance"""
AFFICHER_AUTRES_SITES;"Display ""Others sites"""
AFFICHER_BESOIN_AIDE;"Afficher ""Besoin d'aide"""
AFFICHER_ZONE_ABONNEMENT;"Display ""Zone d'abonnement"""
Aj.;Add.
"Ajax zone";Ajax
Ajout;Addition
ALERT_CTA_MODE_OPEN_LINK;"Veuillez remplir le mode d'ouverture du lien"
ALERT_CTA_TITLE;"Veuillez remplir le libellé du lien "
ALERT_CTA_URL;"Veuillez remplir le l'URL du lien"
Alias;Alias
ALL;Tout
ALLEMAND;Allemand
ALL_FEATURES;"Toutes les fonctionnalit"
ALONE_LAYOUT;"Single template"
ALTERNATIVE;Alternative
ALTERNATIVE_FLASH;"Flash alternative"
"An e-mail request for publication will be sent.";"An e-mail request for publication will be sent."
Analytics;Analytique
"And on";"And on"
ANGLAIS;Anglais
ANNOUNCEMENTS;Annonces
Answer;Reply
"Apart from French";"(In addition to French)"
"Application mobile";"Application mobile"
ARBORESCENCE;Arborescence
"Arborescence cible";"Target tree"
"Arborescence source";"source tree"
ARBORESCENCE_OBLIGATOIRE;"Arborescence obligatoire"
ARBORESCENCE_SOURCE;"Arborescence source"
ARBORESCENCE_UNIQUE;"Veuillez sélectionner une page"
AREAS_OF_INTEREST;"Domaines d'int"
ASSISTANCE;Assist
ASSOCIATED_CONTENT_ORDER;"Order related content"
ASSOCIATED_RUBRIQUE;"Associated topic"
"Attached file";"Been attached"
AUCUNE;Aucune
AUTEUR;Author
Authenticate;Authenticate
Authentification;Authentification
Author;Author
"Auto raise";"Auto raise"
"Available alias";"Available aliases"
"Available blocs";"Unselected blocks"
AWARD_TAB;R
A_CATEGORY;"A category"
A_CONTENT;"A content"
A_PARTIR;"À partir de"
A_PUBLIER;"à publier"
Back;Back
Backend;"Back Office"
"Backend access";"Access BO"
"Backend horizontal display";"Horizontal display (BO)"
BACKEND_CONTENT_ARTICLE_GEOLOCALISATION;Geolocalization
BACKEND_CONTENT_MAIN_TEXT;"Main text"
BackgroundColor;"Couleur de fond"
BackgroundImage;"Image de fond"
BACKOFFICE;"Back Office"
BACK_PATH;"BO Path"
BACK_TO_LIST;"Retour "
Banner;Banni
BANNER_SAMPLE;"Les nouvelles technologies au futur quotidien"
BARRE_D_OUTILS;"Barre d'outils"
BESOIN_AIDE;"Need help"
BLANC;White
BLEU;Blue
BLOC;Block
"Bloc type";"Block type"
BLOCS;Blocks
BoldTitle;"Title in bold"
BONJOUR;Hello
BO_ACCESS;"BO Access"
BROUILLON;Brouillon
BROWSE;Parcourir
BROWSE_PRODUCTS;"Parcourir les produits"
BUSINESS_PROFILE;"Profil professionnel"
"By default";"By default"
CACHE;Cache
CAL_APRIL;April
CAL_AUGUST;August
CAL_CHOOSE_MONTH;"Choose a month."
CAL_CHOOSE_YEAR;"Choose a year."
CAL_CURRENT_MONTH;"Show the current month"
CAL_DATE_FORMAT;mm/dd/yyyy
CAL_DECEMBER;December
CAL_FEBRUARY;February
CAL_FRI;Fri
CAL_FRIDAY;Friday
CAL_JANUARY;January
CAL_JULY;July
CAL_JUNE;June
CAL_MARCH;March
CAL_MAY;May
CAL_MON;Mon
CAL_MONDAY;Monday
CAL_NEXT_MONTH;"Click to go to the next month. Hold mouse Pelican_Index_Backoffice_Button to scroll automatically."
CAL_NOVEMBER;November
CAL_OCTOBER;October
CAL_PREVIOUS_MONTH;"Click to go to the previous month. Hold mouse Pelican_Index_Backoffice_Button to scroll automatically."
CAL_SAT;Sat
CAL_SATURDAY;Saturday
CAL_SELECT_DATE;Select
CAL_SEPTEMBER;September
CAL_SHOW;"Show "
CAL_SUN;Sun
CAL_SUNDAY;Sunday
CAL_THU;Thu
CAL_THURSDAY;Thursday
CAL_TUE;Tue
CAL_TUESDAY;Tuesday
CAL_WED;Wed
CAL_WEDNESDAY;Wednesday
CAL_WEEK;Wk
Carousel;Carrousel
CARRE;square
CASH_PRICE_HT;HT
CASH_PRICE_TTC;TTC
Categorie;Category
CATEGORIES;Cat
CERTIFICATE;Certificat
CHANGE_CLEAR_URL;"Do you  want to update clear url"
CHANGE_COLOR;"Changez la couleur"
CHANGE_MAIL_CONFIRMATION;"Un e-mail vous a "
CHANGE_MAIL_ERROR_PWD_TEXT;"Mot de passe non valable"
CHANGE_MAIL_ERROR_TOKEN;"CHANGE_MAIL_ERROR_TOKEN - to be translated"
CHANGE_MAIL_LABEL;"Changement d'email"
CHANGE_MAIL_MAIL_SUBJECT;"Changement d'email utilisateur"
CHANGE_MAIL_MAIL_TEXT;"Veuillez cliquer sur le lien ci-dessous pour proceder au changement de courriel##URL##"
CHANGE_MAIL_TEXT_PRESENTATION;"Veuillez saisir votre mot de passe pour confirmer votre nouvel adresse "
CHANGE_VIEW;"Modifier l'affichage"
CHAPEAU;"Pre text"
CHAPO;Chapô
CHARACTER;character
CHOISIR;Choose
CHOISISSEZ_VOTRE_LANGUE;"CHOOSE YOUR LANGUAGE"
CHOIX_ALTER_FLASH;"Please choose alternative image for flash"
CHOIX_IMG_FLASH_HTML;"Please choose a image, flash or html"
CHOOSE_ALL;"Choisir tout"
CHOOSE_SITE;"Choose your site"
CINEMASCOPE;Cinemascope
CITY;Ville
CIVILITIES;Civilities
Civility;Titre
CLEAR_URL;"Clear url"
CLOSE;Fermer
CODE;Code
CODE_PAYS;"Country code"
COLUMN;Column
COMMENTAIRES;Comments
Commentary;Comment
COMMENTS;Comments
COMPANY;Soci
COMPANY_ERROR;"Veuillez s"
COMPLEMENT;Complement
Complement2;Complement
CONFIRM_DELETE;"Are you really want to delete this page, its childs page and all attached contents ?"
CONFIRM_DELETE_ZONE;"Do you want delete zone?"
CONFIRM_RESTORE;"Are you really want to restore the page, its childs page and all attached contents ?"
CONSOMMATION;Consommation
CONTACT;Contact
CONTACT_SUBJECT;Objet
Content;Content
"Content categories";"Content Categories"
"Content order";"Content order"
"Content research";"Content research"
"Content type";"Content Type"
"Content types";"Content Types"
CONTENT_NAME;"Content name"
CONTENT_TYPE_ASSOCIATED;"Associated content type"
CONTENUS;Contents
CONTENUS_RECOMMANDES;"Contenus recommandés"
CONTENUS_RECOMMANDES_MAX;"9 contenus recommandés maximum"
CONTENU_UTILISER;"Content used by another content"
CONTRIBUTIONS;Contributions
COOKIES;Cookies
COPIER_COLLER;"Copy and paste"
CORBEILLE;Trash
COUNTRIES;Countries
Country;Pays
"Created on";"Created on"
Createur;Cr
CREATE_COMPARISON;Cr
CREER;Create
CRITERE_LABEL_INTERNE;"Internal label"
CRITERE_LABEL_PUBLIC;"Public label"
"CSS class";"CSS class"
CTA;CTA
CTA_GAMME;"CTA Gamme"
CTA_PDV;"CTA Store locator"
CUSTOMER_DEPOSITS;"CUSTOMER_DEPOSITS - N/A"
CUSTOMER_NUMBER;"CUSTOMER_NUMBER - N/A"
"dans la Recherche";"dans la Recherche"
DATE;Date
DATE_DEBUT;"Start date"
DATE_FIN;"End date"
DATE_FORMAT_DB;MM/DD/YYYY
DATE_FORMAT_LABEL;MM/DD/YYYY
DATE_FORMAT_LABEL_EDITION;"MM/JJ/AAAA, AAAA/MM ou AAAA"
DATE_FORMAT_PHP;m/d/Y
DATE_HEURE_FORMAT_PHP;"d/m/Y H:i:s"
DAVID;David
DECACHE_TRAD;"Generate the translation"
DECACHE_TRAD_FO;D
DECMD_PAGEBREAK;"Page break"
"Deidcated to subscribers";"Subject to subscription"
DEL;del
DELETE_CONTENT;"Content to delete"
DELETE_PAGE_ALERT;"Please note that the removal of this item does not delete content associated with it"
DELIVERY_ADDRESS;"Informations sur la livraison"
DELIVERY_TIME;"DELIVERY_TIME - N/A"
DEL_TRASH;"Delete trash elements"
DEMO_SITE;"Site de demonstration"
DEPENDANCES;Dependencies
DEPENDANCIES;Dependancies
DEPLIE;Déplié
DESACTIVER;Deactivate
DESC;Desc
DESCRIPTION;Description
DESCRIPTION_SERVICE;"Description of Service"
DESIRED_END_DATE;"DESIRED_END_DATE - N/A"
DEVISE_PAYS;"Devise du pays"
DEV_SITE;"Website Development"
DIFFUSION;Diffusion
"Diffusion date and hour";"Date and time of broadcast"
"Direct zone";Direct
"Display date begin";"Starting date display"
"Display end date";"Ending date display"
"Displayed publication date";"Date of publication displayed"
DISTRIBUTOR_ACTEBIS_PEACOK_GMBH;"DISTRIBUTOR_ACTEBIS_PEACOK_GMBH - N/A"
DISTRIBUTOR_API_COMPUTERHANDELS_GMBH;"DISTRIBUTOR_API_COMPUTERHANDELS_GMBH - N/A"
DISTRIBUTOR_B_COM_COMPUTER_AG;"DISTRIBUTOR_B_COM_COMPUTER_AG - N/A"
DISTRIBUTOR_INGRAM_MICRO_DISTRIBUTION_GMBH;"DISTRIBUTOR_INGRAM_MICRO_DISTRIBUTION_GMBH - N/A"
DNS;DNS
DOES_YOUR_COMPANY_HAVE_AN_E_TAIL_SITE;"Votre entreprise poss"
DOES_YOUR_COMPANY_HAVE_A_RETAIL_STORE;"Votre soci"
DONNEES_DE_REFERENCE;Donn
DON_T_KNOW;"Ne sais pas"
Dossiers;Dossiers
DOWNLOAD;T
Drag&Drop;"Drag & Drop (portal area)"
DROITE;Right
"Droits etendus";"Extensive rights"
Ed.;Edit
EDIT;ed
Edition;Edition
EDITORIAL;Editorial
EDITOR_ACCESS;"View in a Screen Reader"
EDITOR_ANCHOR;Anchor
EDITOR_BOLD;Bold
EDITOR_BRING_ABOVE_TEXT;"Bring above text"
EDITOR_BRING_FORWARD;"Bring forward"
EDITOR_BRING_TO_FRONT;"Bring to front"
EDITOR_CHARMAP;"Special car."
EDITOR_CLEAN;"Clean the Pelican_Html code"
EDITOR_CONTENT;"Choose a content"
EDITOR_COPY;Copy
EDITOR_CUT;Cut
EDITOR_DELETECELLS;"Delete cells"
EDITOR_DELETECOLS;"Delete columns"
EDITOR_DELETEROWS;"Delete rows"
EDITOR_DETAILS;"Show details"
EDITOR_DOCUMENT;"Attach a file"
EDITOR_FLASH;"Insert a flash tag"
EDITOR_FONTNAME;"Font name"
EDITOR_FONTSIZE;"Font size"
EDITOR_HELP;Help
EDITOR_HR;"Horizontal line"
EDITOR_HTML;"HTML code"
EDITOR_IMAGE;"Insert an image tag"
EDITOR_IMAGEMAP;ImageMap
EDITOR_IMAGE_PROPERTY;"Edit image properties"
EDITOR_INDENT;Indent
EDITOR_INSERTCELL;"Insert a cell"
EDITOR_INSERTCOL;"Insert a column"
EDITOR_INSERTROW;"Insert a row"
EDITOR_INSERTTABLE;"Insert a table"
EDITOR_INTERNAL;"Internal link"
EDITOR_ITALIC;Italic
EDITOR_JUSTIFYCENTER;"Justify center"
EDITOR_JUSTIFYLEFT;"Justify left"
EDITOR_JUSTIFYRIGHT;"Justify right"
EDITOR_LINK;Link
EDITOR_LINKCHECK;"Check document links"
EDITOR_LOCK_ELEMENT;"Lock element"
EDITOR_MAKE_ABSOLUTE;"Make absolute"
EDITOR_MERGECELLS;"Merge cells"
EDITOR_MODIFTABLE;"Modify table / cell"
EDITOR_ORDERLIST;"Ordered list"
EDITOR_OUTDENT;Outdent
EDITOR_PALETTE;Emoticons
EDITOR_PASTE;Paste
EDITOR_REDO;Redo
EDITOR_REMOVEFORMAT;"Remove format"
EDITOR_SAVE;Save
EDITOR_SELECTALL;"Select all"
EDITOR_SEND_BACKWARD;"Send backward"
EDITOR_SEND_BELOW_TEXT;"Send below text"
EDITOR_SEND_TO_BACK;"Send to back"
EDITOR_SETBACKCOLOR;"Background color"
EDITOR_SETFORECOLOR;"Font color"
EDITOR_SNAPTOGRID;"Snap to grid"
EDITOR_SPLITCELL;"Split cell"
EDITOR_STRIKETHROUGH;"Strike through"
EDITOR_SUBSCRIPT;Subscript
EDITOR_SUPERSCRIPT;Superscript
EDITOR_TABLE_PROPERTY;"Edit table properties"
EDITOR_TEMPLATE;"Choose a template"
EDITOR_TIDY;"Clean the Pelican_Html code with Tidy"
EDITOR_TOC;"Insert a Table of content"
EDITOR_UNDERLINE;Underlined
EDITOR_UNDO;Undo
EDITOR_UNLINK;"Delete link"
EDITOR_UNORDERLIST;"Unordered list"
EDITOR_VISIBLEBORDERS;"Show/Hide borders"
EDIT_MY_NEWS;"Modifier mes actualit"
EDIT_MY_QUICKLINKS;"Modifier ma liste "
EMAIL;Mail
